id,time,exit,detector,dir,regime,class,r_off,r_on,swap_R,comm_R,nights,stop,price,lots_spec,suppressed,terminal
73,2019-12-24 04:00:00,2020-01-03 08:42:21,TrendCont,SELL,TREND_DOWN,DISCRETION,0.500,0.304,-0.155,-0.025,8,192.04,7254.19,1.3,False,BE
74,2020-01-09 08:00:00,2020-01-10 12:46:03,TrendCont,SELL,TREND_DOWN,DISCRETION,0.500,0.435,-0.022,-0.027,1,192.51,7873.74,1.29,False,BE
75,2020-01-21 20:00:00,2020-01-23 05:35:42,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.094,-0.059,-0.023,2,248.20,8722.60,1.0,False,SL
76,2020-01-31 12:00:00,2020-02-02 23:59:20,TrendCont,BUY,TREND_UP,DISCRETION,0.500,0.369,-0.061,-0.047,1,129.25,9315.00,1.93,False,BE
77,2020-02-11 08:00:00,2020-02-13 07:09:31,DeepFib,BUY,TREND_UP,TAKE,4.170,3.980,-0.088,-0.068,2,93.29,9804.95,2.67,False,TP
78,2020-02-13 12:00:00,2020-02-17 14:11:32,SweepMSS,SELL,TREND_UP,TAKE,2.460,2.378,-0.044,-0.026,2,254.79,10263.80,0.98,False,TP
79,2020-02-18 16:00:00,2020-02-19 21:47:23,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.038,-0.018,-0.014,1,474.07,10067.60,0.52,False,SL
80,2020-02-23 20:00:00,2020-02-24 18:01:46,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.024,-0.000,-0.016,0,403.86,9966.50,0.61,False,SL
81,2020-03-11 16:00:00,2020-03-12 04:20:56,EMArevQ,BUY,CHOP,DISCRETION,-1.000,-1.057,-0.025,-0.020,1,259.03,7832.86,0.96,False,SL
82,2020-03-17 20:00:00,2020-03-18 13:53:29,TrendCont,SELL,TREND_DOWN,DISCRETION,0.500,0.464,-0.011,-0.013,1,261.57,5336.10,0.9500000000000001,False,BE
83,2020-03-19 00:00:00,2020-03-19 09:24:14,TrendCont,SELL,TREND_DOWN,DISCRETION,-1.000,-1.033,-0.000,-0.017,0,197.78,5302.14,1.26,False,SL
84,2020-03-31 08:00:00,2020-04-01 21:04:49,TrendCont,SELL,TREND_DOWN,DISCRETION,0.500,0.427,-0.024,-0.028,1,147.41,6399.89,1.69,False,BE
85,2020-04-02 16:00:00,2020-04-06 19:04:41,EMArevQ,SELL,TREND_DOWN,DISCRETION,-1.000,-1.033,-0.016,-0.010,2,452.53,6809.54,0.55,False,SL
86,2020-04-09 08:00:00,2020-04-16 23:00:38,TrendCont,SELL,TREND_DOWN,DISCRETION,0.500,0.401,-0.060,-0.024,5,197.47,7193.10,1.26,False,BE
87,2020-04-20 08:00:00,2020-04-23 13:35:42,TrendCont,SELL,TREND_DOWN,DISCRETION,-1.000,-1.073,-0.044,-0.017,3,260.51,6972.80,0.9500000000000001,False,SL
88,2020-05-04 08:00:00,2020-05-06 12:04:23,TrendCont,BUY,TREND_UP,DISCRETION,2.510,2.419,-0.041,-0.032,2,176.42,8688.00,1.41,False,TP
89,2020-05-12 16:00:00,2020-05-13 12:52:06,DeepFib,SELL,TREND_UP,TAKE,-1.000,-1.046,-0.016,-0.019,1,297.16,8797.95,0.84,False,SL
90,2020-05-15 04:00:00,2020-05-15 20:38:10,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.021,-0.000,-0.014,0,446.21,9674.85,0.56,False,SL
91,2020-05-18 00:00:00,2020-05-21 14:17:02,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.046,-0.034,-0.009,3,742.56,9860.05,0.33,False,SL
92,2020-05-25 04:00:00,2020-05-28 15:43:44,EMArevQ,BUY,TREND_UP,DISCRETION,1.820,1.709,-0.076,-0.023,3,246.94,8865.15,1.01,False,TP
93,2020-06-03 08:00:00,2020-06-05 11:54:52,TrendCont,BUY,TREND_UP,DISCRETION,0.490,0.402,-0.050,-0.026,2,244.35,9619.25,1.02,False,BE
94,2020-06-05 08:00:00,2020-06-11 12:59:29,SweepMSS,BUY,TREND_UP,TAKE,0.500,0.349,-0.113,-0.025,4,251.71,9694.60,0.99,False,BE
95,2020-06-15 12:00:00,2020-06-17 20:00:04,EMArevQ,BUY,TREND_UP,DISCRETION,0.190,0.130,-0.038,-0.015,2,415.34,9302.95,0.6,False,BE
96,2020-07-01 12:00:00,2020-07-02 15:04:54,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.112,-0.052,-0.040,1,151.40,9270.80,1.6500000000000001,False,SL
97,2020-07-02 16:00:00,2020-07-05 21:01:06,EMArevQ,BUY,TREND_UP,DISCRETION,0.350,0.194,-0.072,-0.055,2,106.12,9042.75,2.35,False,end
98,2020-08-03 00:00:00,2020-08-04 11:53:25,TrendCont,BUY,TREND_UP,DISCRETION,0.490,0.409,-0.025,-0.039,1,185.34,11130.85,1.34,False,BE
99,2020-08-04 12:00:00,2020-08-10 02:06:00,TrendCont,BUY,TREND_UP,DISCRETION,2.520,2.345,-0.121,-0.037,4,194.58,11213.45,1.28,False,TP
100,2020-08-10 12:00:00,2020-08-11 15:13:30,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.048,-0.023,-0.018,1,436.14,11934.25,0.5700000000000001,False,SL
101,2020-08-17 12:00:00,2020-08-19 04:17:12,SweepMSS,BUY,TREND_UP,TAKE,-1.000,-1.048,-0.031,-0.012,2,664.98,12426.60,0.37,False,SL
102,2020-08-19 08:00:00,2020-08-19 15:09:03,DeepFib,BUY,TREND_UP,TAKE,-1.000,-1.086,-0.000,-0.062,0,124.85,11848.75,2.0,False,SL
103,2020-09-01 00:00:00,2020-09-02 08:04:48,TrendCont,BUY,TREND_UP,DISCRETION,0.500,0.404,-0.030,-0.047,1,162.10,11697.95,1.54,False,BE
104,2020-09-07 20:00:00,2020-09-08 22:20:27,TrendCont,BUY,TREND_UP,DISCRETION,-1.000,-1.036,-0.017,-0.013,1,512.54,10377.16,0.48,False,SL
