signal_id,signal_time,symbol,strategy,direction,orig_entry,orig_sl,orig_tp,orig_tp1,orig_tp2,entry,sl,tp,tp1,tp2,partial_frac,lots,decision,skip_reason,edited,is_pending,decision_ms,posid,tp1_done,exit_time,exit_price,pnl,r_multiple,regime,with_trend,to_entry,to_sl,to_tp1,to_tp2,mfe_r,pre_dip_r,post_dip_r,dipped,terminal,decision_class,rt_tp1r,rt_tp2r,rt_touched1,rt_reached2,rt_redip1,rt_bankr,costed_r,cost_swap_r,cost_comm_r,cost_spread_r,cost_nights
30,2019.09.12 12:00:00,BTCUSD.dk,TrendCont,BUY,10332.20,10021.02,11576.93,10954.56,11576.93,10332.20,10021.02,11576.93,10954.56,11576.93,0.50,0.79,approved,0,0,0,0,71,0,2019.09.19 03:02:03,10021.00,-277.56,-1.00,TREND_UP,1,10332.20,10021.02,10954.56,11576.93,0.43,0.43,0.14,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,-1.171,-0.140,-0.022,-0.010,5
31,2019.09.19 20:00:00,BTCUSD.dk,TrendCont,BUY,10273.20,9839.69,12007.25,11140.23,12007.25,10273.20,9839.69,12007.25,11140.23,12007.25,0.50,0.56,approved,0,0,0,0,73,0,2019.09.23 14:24:21,9839.20,-247.48,-1.00,TREND_UP,1,10273.20,9839.69,11140.23,12007.25,0.08,0.08,0.00,0,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,-1.062,-0.040,-0.015,-0.007,2
32,2019.09.30 08:00:00,BTCUSD.dk,SweepMSS,SELL,8045.49,8157.37,7709.86,7821.74,7709.86,8045.49,8157.37,7709.86,7821.74,7709.86,0.00,2.16,approved,0,0,0,0,75,1,2019.09.30 13:31:49,8165.36,-258.92,-1.07,CHOP,,8045.49,8157.37,7821.74,7709.86,0.42,0.42,0.01,1,end,DISCRETION,2.000,3.000,0,0,0,-99.000,-1.144,-0.000,-0.047,-0.028,0
33,2019.10.03 20:00:00,BTCUSD.dk,SweepMSS,SELL,8241.45,8429.62,7676.93,7865.10,7676.93,8241.45,8429.62,7676.93,7865.10,7676.93,0.00,1.27,approved,0,0,0,0,77,1,2019.10.07 15:16:23,8241.60,115.52,0.50,TREND_DOWN,1,8241.45,8429.62,7865.10,7676.93,2.51,2.51,0.00,1,BE,TAKE,2.000,3.000,1,0,1,1.001,0.419,-0.036,-0.028,-0.016,2
34,2019.10.08 04:00:00,BTCUSD.dk,SweepMSS,BUY,8218.65,7756.53,9605.00,9142.89,9605.00,8218.65,7756.53,9605.00,9142.89,9605.00,0.00,0.52,approved,0,0,0,0,80,1,2019.10.15 16:12:30,8217.60,110.58,0.50,TREND_DOWN,0,8218.65,7756.53,9142.89,9605.00,1.28,1.28,0.00,1,BE,TAKE,2.000,3.000,0,0,0,1.008,0.437,-0.045,-0.012,-0.007,5
35,2019.10.17 16:00:00,BTCUSD.dk,TrendCont,SELL,8060.85,8133.38,7770.71,7915.78,7770.71,8060.85,8133.38,7770.71,7915.78,7770.71,0.50,3.34,approved,0,0,0,0,83,1,2019.10.20 21:01:04,8224.85,-175.64,-0.63,TREND_DOWN,1,8060.85,8133.38,7915.78,7770.71,3.29,3.29,0.00,1,end,DISCRETION,2.000,4.000,1,0,1,1.006,-0.836,-0.091,-0.072,-0.043,2
36,2019.10.22 20:00:00,BTCUSD.dk,TrendCont,SELL,8023.60,8323.18,6825.29,7424.44,6825.29,8023.60,8323.18,6825.29,7424.44,6825.29,0.50,0.80,approved,0,0,0,0,86,1,2019.10.25 15:47:30,8025.30,115.65,0.50,TREND_DOWN,1,8023.60,8323.18,7424.44,6825.29,2.40,2.40,0.00,1,BE,DISCRETION,2.000,4.000,1,0,1,1.000,0.443,-0.029,-0.017,-0.010,3
37,2019.11.10 20:00:00,BTCUSD.dk,DeepFib,SELL,9035.35,9196.60,8673.85,8673.85,8318.87,9035.35,9196.60,8318.87,8673.85,8318.87,0.50,1.49,approved,0,0,0,0,89,1,2019.11.18 17:25:16,8318.75,637.91,2.73,TREND_UP,0,9035.35,9196.60,8673.85,8318.87,4.44,4.44,0.00,0,TP,TAKE,2.242,4.443,1,1,1,1.002,2.598,-0.077,-0.036,-0.019,5
38,2019.11.25 16:00:00,BTCUSD.dk,DeepFib,SELL,7209.64,7399.36,6527.95,6527.95,5998.18,7209.64,7399.36,5998.18,6527.95,5998.18,0.50,1.30,approved,0,0,0,0,92,1,2019.11.27 12:03:41,7209.71,113.11,0.50,TREND_DOWN,1,7209.64,7399.36,6527.95,5998.18,1.88,0.40,1.88,1,BE,TAKE,3.593,6.385,0,0,0,1.006,0.417,-0.042,-0.025,-0.016,2
39,2019.12.02 00:00:00,BTCUSD.dk,TrendCont,SELL,7365.45,7794.33,5649.94,6507.69,5649.94,7365.45,7794.33,5649.94,6507.69,5649.94,0.50,0.58,approved,0,0,0,0,95,1,2019.12.18 22:59:32,7365.86,92.89,0.48,TREND_DOWN,1,7365.45,7794.33,6507.69,5649.94,2.17,0.46,2.17,1,BE,DISCRETION,2.000,4.000,1,0,1,1.001,0.358,-0.103,-0.011,-0.007,12
40,2019.12.24 04:00:00,BTCUSD.dk,TrendCont,SELL,7254.19,7446.23,6486.03,6870.11,6486.03,7254.19,7446.23,6486.03,6870.11,6486.03,0.50,1.30,approved,0,0,0,0,98,0,,,,,TREND_DOWN,1,7254.19,7446.23,6870.11,6486.03,,,,1,,DISCRETION,,,0,0,0,,,,,,
