signal_id,signal_time,symbol,strategy,direction,orig_entry,orig_sl,orig_tp,orig_tp1,orig_tp2,entry,sl,tp,tp1,tp2,partial_frac,lots,decision,skip_reason,edited,is_pending,decision_ms,posid,tp1_done,exit_time,exit_price,pnl,r_multiple,regime,with_trend,to_entry,to_sl,to_tp1,to_tp2,mfe_r,pre_dip_r,post_dip_r,dipped,terminal,decision_class,rt_tp1r,rt_tp2r,rt_touched1,rt_reached2,rt_redip1,rt_bankr,stop_pre_floor,stop_post_floor,floor_applied,costed_r,cost_swap_r,cost_comm_r,cost_spread_r,cost_nights
40,2023.07.26 16:00:00,BTCUSD.dk,TrendCont,BUY,29402.60,29148.27,30419.91,29911.25,30419.91,29402.60,29148.27,30419.91,29911.25,30419.91,0.50,0.94,approved,0,0,0,0,94,1,2023.07.26 23:21:11,29401.15,117.70,0.49,TREND_UP,1,29402.60,29148.27,29911.25,30419.91,1.09,1.09,0.00,1,BE,DISCRETION,2.000,4.000,0,0,0,1.012,254.33,254.33,0,0.403,-0.000,-0.075,-0.012,0
41,2023.08.02 00:00:00,BTCUSD.dk,EMArevQ,SELL,29626.49,30061.64,28847.38,29264.32,28847.38,29626.49,30061.64,28847.38,29264.32,28847.38,0.50,0.55,approved,0,0,0,0,97,1,2023.08.04 20:45:16,28842.95,308.40,1.33,CHOP,,29626.49,30061.64,29264.32,28847.38,1.80,1.80,0.00,0,TP,DISCRETION,0.832,1.790,1,1,1,0.839,435.15,435.15,0,1.204,-0.074,-0.044,-0.007,2
42,2023.08.14 08:00:00,BTCUSD.dk,DeepFib,SELL,29372.15,29507.13,29097.84,29097.84,28872.45,29372.15,29507.13,28872.45,29097.84,28872.45,0.50,1.66,approved,0,0,0,0,100,0,2023.08.14 14:42:39,29507.31,-224.37,-1.00,CHOP,,29372.15,29507.13,29097.84,28872.45,0.56,0.56,0.09,1,SL,DISCRETION,2.032,3.702,0,0,0,-99.000,85.69,134.98,1,-1.164,-0.000,-0.141,-0.023,0
43,2023.08.23 08:00:00,BTCUSD.dk,DeepFib,SELL,25931.79,26235.75,25371.24,25371.24,24839.91,25931.79,26235.75,24839.91,25371.24,24839.91,0.50,0.79,approved,0,0,0,0,102,0,2023.08.23 16:17:53,26235.81,-240.18,-1.00,CHOP,,25931.79,26235.75,25371.24,24839.91,0.40,0.40,0.03,1,SL,DISCRETION,1.844,3.592,0,0,0,-99.000,223.14,303.96,1,-1.066,-0.000,-0.055,-0.010,0
44,2023.08.24 12:00:00,BTCUSD.dk,SweepMSS,BUY,25993.31,25350.38,27922.10,27279.17,27922.10,25993.31,25350.38,27922.10,27279.17,27922.10,0.00,0.37,approved,0,0,0,0,104,1,2023.08.26 00:00:11,26048.65,5.37,0.09,TREND_DOWN,0,25993.31,25350.38,27279.17,27922.10,0.46,0.31,0.46,1,end,TAKE,2.000,3.000,0,0,0,-99.000,642.93,642.93,0,-0.009,-0.068,-0.026,-0.005,2
45,2023.08.28 16:00:00,BTCUSD.dk,TrendCont,SELL,25982.79,26247.38,24924.41,25453.60,24924.41,25982.79,26247.38,24924.41,25453.60,24924.41,0.50,0.90,approved,0,0,0,0,106,0,2023.08.29 14:20:29,26249.71,-254.04,-1.01,TREND_DOWN,1,25982.79,26247.38,25453.60,24924.41,0.26,0.26,0.11,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,264.59,264.59,0,-1.139,-0.054,-0.064,-0.012,1
46,2023.09.03 20:00:00,BTCUSD.dk,TrendCont,SELL,25971.24,26226.97,25303.38,25637.31,25303.38,25971.24,26226.97,25303.38,25637.31,25303.38,0.50,0.92,approved,0,0,0,0,108,1,2023.09.06 17:56:02,25972.81,103.22,0.50,TREND_DOWN,1,25971.24,26226.97,25637.31,25303.38,2.22,0.35,2.22,1,BE,DISCRETION,1.306,2.612,1,0,1,1.002,166.96,255.73,1,0.366,-0.056,-0.066,-0.012,2
47,2023.09.07 04:00:00,BTCUSD.dk,TrendCont,SELL,25762.15,26006.54,25346.41,25554.28,25346.41,25762.15,26006.54,25346.41,25554.28,25346.41,0.50,0.97,approved,0,0,0,0,111,0,2023.09.07 20:53:16,26008.06,-238.53,-1.01,TREND_DOWN,1,25762.15,26006.54,25554.28,25346.41,0.61,0.51,0.61,1,SL,DISCRETION,0.851,1.701,0,0,0,-99.000,103.94,244.39,1,-1.091,-0.000,-0.069,-0.013,0
48,2023.09.11 08:00:00,BTCUSD.dk,TrendCont,SELL,25601.34,25913.15,24354.08,24977.71,24354.08,25601.34,25913.15,24354.08,24977.71,24354.08,0.50,0.75,approved,0,0,0,0,113,1,2023.09.12 03:17:05,25602.66,110.40,0.50,TREND_DOWN,1,25601.34,25913.15,24977.71,24354.08,2.17,2.17,0.00,1,BE,DISCRETION,2.000,4.000,1,0,1,1.010,311.81,311.81,0,0.414,-0.022,-0.053,-0.010,1
49,2023.09.25 12:00:00,BTCUSD.dk,EMArevQ,BUY,26240.35,25985.02,26679.70,26448.33,26679.70,26240.35,25985.02,26679.70,26448.33,26679.70,0.50,0.92,approved,0,0,0,0,116,1,2023.09.27 11:35:47,26680.49,261.22,1.27,CHOP,,26240.35,25985.02,26448.33,26679.70,1.72,0.69,1.72,1,TP,DISCRETION,0.815,1.721,1,1,1,0.822,255.33,255.33,0,1.018,-0.173,-0.067,-0.012,2
50,2023.09.27 12:00:00,BTCUSD.dk,SweepMSS,BUY,26288.60,25966.16,26885.54,26686.56,26885.54,26288.60,25966.16,26885.54,26686.56,26885.54,0.00,0.74,approved,0,0,0,0,119,1,2023.09.28 14:49:07,26885.94,325.77,1.43,TREND_DOWN,0,26288.60,25966.16,26686.56,26885.54,1.85,1.85,0.00,0,TP,TAKE,1.234,1.851,1,1,1,1.006,198.98,322.44,1,1.299,-0.069,-0.053,-0.010,1
51,2023.10.04 00:00:00,BTCUSD.dk,DeepFib,BUY,27430.16,26882.24,28587.30,28587.30,29542.64,27430.16,26882.24,29542.64,28587.30,29542.64,0.50,0.44,approved,0,0,0,0,122,1,2023.10.05 15:37:52,27424.34,109.85,0.50,CHOP,,27430.16,26882.24,28587.30,29542.64,1.24,0.38,1.24,1,BE,DISCRETION,2.112,3.855,0,0,0,1.001,252.05,547.92,1,0.420,-0.042,-0.033,-0.006,1
52,2023.10.06 00:00:00,BTCUSD.dk,DeepFib,BUY,27561.26,27197.29,28111.79,28111.79,28593.61,27561.26,27197.29,28593.61,28111.79,28593.61,0.50,0.67,approved,0,0,0,0,125,0,2023.10.06 13:00:32,27196.84,-244.16,-1.00,TREND_UP,1,27561.26,27197.29,28111.79,28593.61,0.65,0.65,0.12,1,SL,TAKE,1.513,2.836,0,0,0,-99.000,190.39,363.97,1,-1.058,-0.000,-0.049,-0.008,0
53,2023.10.06 12:00:00,BTCUSD.dk,TrendCont,BUY,27948.85,27149.94,31144.49,29546.67,31144.49,27948.85,27149.94,31144.49,29546.67,31144.49,0.50,0.30,approved,0,0,0,0,127,0,2023.10.07 00:00:04,27943.74,-8.09,-0.01,TREND_UP,1,27948.85,27149.94,29546.67,31144.49,0.40,0.40,0.03,1,end,DISCRETION,2.000,4.000,0,0,0,-99.000,798.91,798.91,0,-0.066,-0.029,-0.023,-0.004,1
54,2023.10.08 20:00:00,BTCUSD.dk,TrendCont,BUY,27928.76,27693.23,28870.89,28399.83,28870.89,27928.76,27693.23,28870.89,28399.83,28870.89,0.50,1.02,approved,0,0,0,0,129,0,2023.10.09 09:40:08,27692.59,-240.89,-1.00,TREND_UP,1,27928.76,27693.23,28399.83,28870.89,0.28,0.28,0.17,1,SL,DISCRETION,2.000,4.000,0,0,0,-99.000,235.53,235.53,0,-1.090,-0.000,-0.077,-0.013,0
55,2023.10.19 04:00:00,BTCUSD.dk,DeepFib,BUY,28332.35,27944.32,28975.09,28975.09,29521.62,28332.35,27944.32,29521.62,28975.09,29521.62,0.50,0.61,approved,0,0,0,0,131,1,2023.10.20 08:27:06,29523.90,478.84,2.05,TREND_UP,1,28332.35,27944.32,28975.09,29521.62,3.07,3.07,0.00,0,TP,TAKE,1.656,3.065,1,1,1,1.000,168.81,388.03,1,1.964,-0.031,-0.047,-0.008,1
